timestep,mean_diff,std_diff,mean_diff_plus_std,mean_diff_minus_std
79,685.8000000000002,224.2557751558385,910.0557751558387,461.5442248441617
80,713.2831999999999,236.82049370177256,950.1036937017724,476.4627062982273
81,735.4040000000005,246.48192515300306,981.8859251530035,488.92207484699736
82,780.4009999999998,268.38286732291033,1048.7838673229103,512.0181326770895
83,828.1210000000001,288.3799386448773,1116.5009386448774,539.7410613551228
84,881.1619999999994,322.48587009649185,1203.6478700964913,558.6761299035074
85,950.9639999999999,359.1244562440297,1310.0884562440297,591.8395437559702
86,1040.7929999999997,414.22185680203256,1455.0148568020322,626.5711431979671
87,1149.8989999999994,492.74851754003737,1642.647517540037,657.1504824599621
88,1275.0159999999996,593.8095762938086,1868.8255762938084,681.206423706191
89,1419.8469999999998,737.5165842440764,2157.3635842440763,682.3304157559234
90,1557.8060000000005,901.8193910825375,2459.625391082538,655.986608917463
91,1711.3739999999998,1130.0635549111796,2841.437554911179,581.3104450888202
92,1837.798999999999,1402.6206869970583,3240.4196869970574,435.17831300294074
93,1973.416000000001,1765.085706754213,3738.501706754214,208.33029324578797
94,2034.7259999999987,2239.5479573361963,4274.273957336195,-204.82195733619756
95,2152.486000000001,2940.847042481033,5093.333042481034,-788.3610424810322
96,2437.130000000001,3961.402054750782,6398.532054750784,-1524.272054750781
97,3197.2580000000016,5531.721890894221,8728.979890894223,-2334.4638908942197
98,4771.957000000002,7876.345943643811,12648.302943643812,-3104.3889436438085
